segment_id,track_id,scene_block,start_frame,end_frame,frame_count,sample_images,team_id
549_0_828_862,549,0,828,862,25,549_0_828_862_frame_828.jpg;549_0_828_862_frame_841.jpg;549_0_828_862_frame_862.jpg,unknown
573_0_857_944,573,0,857,944,88,573_0_857_944_frame_857.jpg;573_0_857_944_frame_900.jpg;573_0_857_944_frame_944.jpg,unknown
584_0_1133_1381,584,0,1133,1381,240,584_0_1133_1381_frame_1133.jpg;584_0_1133_1381_frame_1253.jpg;584_0_1133_1381_frame_1381.jpg,unknown
586_0_925_939,586,0,925,939,10,586_0_925_939_frame_925.jpg;586_0_925_939_frame_929.jpg;586_0_925_939_frame_939.jpg,team_white
589_0_891_927,589,0,891,927,37,589_0_891_927_frame_891.jpg;589_0_891_927_frame_909.jpg;589_0_891_927_frame_927.jpg,unknown
594_0_914_1186,594,0,914,1186,272,594_0_914_1186_frame_914.jpg;594_0_914_1186_frame_1050.jpg;594_0_914_1186_frame_1186.jpg,unknown
602_0_929_1087,602,0,929,1087,157,602_0_929_1087_frame_929.jpg;602_0_929_1087_frame_1007.jpg;602_0_929_1087_frame_1087.jpg,team_blue
616_0_947_1143,616,0,947,1143,196,616_0_947_1143_frame_947.jpg;616_0_947_1143_frame_1044.jpg;616_0_947_1143_frame_1143.jpg,team_white
617_0_947_952,617,0,947,952,6,617_0_947_952_frame_947.jpg;617_0_947_952_frame_949.jpg;617_0_947_952_frame_952.jpg,team_white
626_0_954_1243,626,0,954,1243,289,626_0_954_1243_frame_954.jpg;626_0_954_1243_frame_1098.jpg;626_0_954_1243_frame_1243.jpg,team_blue
632_0_960_967,632,0,960,967,8,632_0_960_967_frame_960.jpg;632_0_960_967_frame_963.jpg;632_0_960_967_frame_967.jpg,unknown
718_0_1088_1120,718,0,1088,1120,25,718_0_1088_1120_frame_1088.jpg;718_0_1088_1120_frame_1108.jpg;718_0_1088_1120_frame_1120.jpg,team_blue
718_0_1142_1250,718,0,1142,1250,109,718_0_1142_1250_frame_1142.jpg;718_0_1142_1250_frame_1196.jpg;718_0_1142_1250_frame_1250.jpg,team_blue
721_0_1092_1104,721,0,1092,1104,13,721_0_1092_1104_frame_1092.jpg;721_0_1092_1104_frame_1098.jpg;721_0_1092_1104_frame_1104.jpg,team_blue
748_0_1149_1239,748,0,1149,1239,85,748_0_1149_1239_frame_1149.jpg;748_0_1149_1239_frame_1197.jpg;748_0_1149_1239_frame_1239.jpg,team_white
796_0_1209_1219,796,0,1209,1219,5,796_0_1209_1219_frame_1209.jpg;796_0_1209_1219_frame_1211.jpg;796_0_1209_1219_frame_1219.jpg,team_blue
796_0_1240_1250,796,0,1240,1250,11,796_0_1240_1250_frame_1240.jpg;796_0_1240_1250_frame_1245.jpg;796_0_1240_1250_frame_1250.jpg,team_white
796_0_1320_1325,796,0,1320,1325,6,796_0_1320_1325_frame_1320.jpg;796_0_1320_1325_frame_1322.jpg;796_0_1320_1325_frame_1325.jpg,unknown
799_0_1217_1250,799,0,1217,1250,34,799_0_1217_1250_frame_1217.jpg;799_0_1217_1250_frame_1233.jpg;799_0_1217_1250_frame_1250.jpg,team_white
811_0_1237_1250,811,0,1237,1250,6,811_0_1237_1250_frame_1237.jpg;811_0_1237_1250_frame_1247.jpg;811_0_1237_1250_frame_1250.jpg,team_blue
812_0_1236_1245,812,0,1236,1245,9,812_0_1236_1245_frame_1236.jpg;812_0_1236_1245_frame_1241.jpg;812_0_1236_1245_frame_1245.jpg,team_blue
819_0_1290_1542,819,0,1290,1542,251,819_0_1290_1542_frame_1290.jpg;819_0_1290_1542_frame_1417.jpg;819_0_1290_1542_frame_1542.jpg,team_blue
819_0_1557_1565,819,0,1557,1565,6,819_0_1557_1565_frame_1557.jpg;819_0_1557_1565_frame_1559.jpg;819_0_1557_1565_frame_1565.jpg,unknown
820_0_1252_2620,820,0,1252,2620,1357,820_0_1252_2620_frame_1252.jpg;820_0_1252_2620_frame_1938.jpg;820_0_1252_2620_frame_2620.jpg,team_white
821_0_1252_1406,821,0,1252,1406,153,821_0_1252_1406_frame_1252.jpg;821_0_1252_1406_frame_1328.jpg;821_0_1252_1406_frame_1406.jpg,unknown
822_0_1252_1351,822,0,1252,1351,100,822_0_1252_1351_frame_1252.jpg;822_0_1252_1351_frame_1301.jpg;822_0_1252_1351_frame_1351.jpg,team_blue
823_0_1252_1413,823,0,1252,1413,162,823_0_1252_1413_frame_1252.jpg;823_0_1252_1413_frame_1332.jpg;823_0_1252_1413_frame_1413.jpg,team_white
835_0_1319_1323,835,0,1319,1323,5,835_0_1319_1323_frame_1319.jpg;835_0_1319_1323_frame_1321.jpg;835_0_1319_1323_frame_1323.jpg,unknown
839_0_1322_1327,839,0,1322,1327,6,839_0_1322_1327_frame_1322.jpg;839_0_1322_1327_frame_1324.jpg;839_0_1322_1327_frame_1327.jpg,unknown
854_0_1353_1391,854,0,1353,1391,37,854_0_1353_1391_frame_1353.jpg;854_0_1353_1391_frame_1371.jpg;854_0_1353_1391_frame_1391.jpg,unknown
854_0_1414_1472,854,0,1414,1472,59,854_0_1414_1472_frame_1414.jpg;854_0_1414_1472_frame_1443.jpg;854_0_1414_1472_frame_1472.jpg,team_white
854_0_1521_1529,854,0,1521,1529,9,854_0_1521_1529_frame_1521.jpg;854_0_1521_1529_frame_1525.jpg;854_0_1521_1529_frame_1529.jpg,team_blue
857_0_1363_1809,857,0,1363,1809,438,857_0_1363_1809_frame_1363.jpg;857_0_1363_1809_frame_1581.jpg;857_0_1363_1809_frame_1809.jpg,team_blue
858_0_1363_1375,858,0,1363,1375,8,858_0_1363_1375_frame_1363.jpg;858_0_1363_1375_frame_1366.jpg;858_0_1363_1375_frame_1375.jpg,unknown
897_0_1406_1993,897,0,1406,1993,579,897_0_1406_1993_frame_1406.jpg;897_0_1406_1993_frame_1695.jpg;897_0_1406_1993_frame_1993.jpg,unknown
897_0_2005_2037,897,0,2005,2037,33,897_0_2005_2037_frame_2005.jpg;897_0_2005_2037_frame_2021.jpg;897_0_2005_2037_frame_2037.jpg,team_white
904_0_1409_1461,904,0,1409,1461,51,904_0_1409_1461_frame_1409.jpg;904_0_1409_1461_frame_1434.jpg;904_0_1409_1461_frame_1461.jpg,team_blue
934_0_1453_1461,934,0,1453,1461,7,934_0_1453_1461_frame_1453.jpg;934_0_1453_1461_frame_1456.jpg;934_0_1453_1461_frame_1461.jpg,unknown
934_0_1476_1734,934,0,1476,1734,244,934_0_1476_1734_frame_1476.jpg;934_0_1476_1734_frame_1612.jpg;934_0_1476_1734_frame_1734.jpg,team_blue
935_0_1454_1512,935,0,1454,1512,54,935_0_1454_1512_frame_1454.jpg;935_0_1454_1512_frame_1483.jpg;935_0_1454_1512_frame_1512.jpg,unknown
957_0_1511_1520,957,0,1511,1520,10,957_0_1511_1520_frame_1511.jpg;957_0_1511_1520_frame_1515.jpg;957_0_1511_1520_frame_1520.jpg,team_blue
968_0_1522_1601,968,0,1522,1601,80,968_0_1522_1601_frame_1522.jpg;968_0_1522_1601_frame_1561.jpg;968_0_1522_1601_frame_1601.jpg,team_blue
968_0_1671_1719,968,0,1671,1719,49,968_0_1671_1719_frame_1671.jpg;968_0_1671_1719_frame_1695.jpg;968_0_1671_1719_frame_1719.jpg,team_blue
998_0_1547_1555,998,0,1547,1555,9,998_0_1547_1555_frame_1547.jpg;998_0_1547_1555_frame_1551.jpg;998_0_1547_1555_frame_1555.jpg,unknown
1008_0_1564_1818,1008,0,1564,1818,253,1008_0_1564_1818_frame_1564.jpg;1008_0_1564_1818_frame_1692.jpg;1008_0_1564_1818_frame_1818.jpg,team_white
1096_0_1719_1849,1096,0,1719,1849,131,1096_0_1719_1849_frame_1719.jpg;1096_0_1719_1849_frame_1784.jpg;1096_0_1719_1849_frame_1849.jpg,team_white
1096_0_1863_1883,1096,0,1863,1883,21,1096_0_1863_1883_frame_1863.jpg;1096_0_1863_1883_frame_1873.jpg;1096_0_1863_1883_frame_1883.jpg,team_white
1096_0_1896_1911,1096,0,1896,1911,16,1096_0_1896_1911_frame_1896.jpg;1096_0_1896_1911_frame_1903.jpg;1096_0_1896_1911_frame_1911.jpg,team_white
1109_0_1736_1741,1109,0,1736,1741,5,1109_0_1736_1741_frame_1736.jpg;1109_0_1736_1741_frame_1738.jpg;1109_0_1736_1741_frame_1741.jpg,team_white
1113_0_1739_2562,1113,0,1739,2562,814,1113_0_1739_2562_frame_1739.jpg;1113_0_1739_2562_frame_2146.jpg;1113_0_1739_2562_frame_2562.jpg,unknown
1113_0_2600_2607,1113,0,2600,2607,8,1113_0_2600_2607_frame_2600.jpg;1113_0_2600_2607_frame_2603.jpg;1113_0_2600_2607_frame_2607.jpg,team_blue
1129_0_1792_1796,1129,0,1792,1796,5,1129_0_1792_1796_frame_1792.jpg;1129_0_1792_1796_frame_1794.jpg;1129_0_1792_1796_frame_1796.jpg,unknown
1129_0_1843_1868,1129,0,1843,1868,19,1129_0_1843_1868_frame_1843.jpg;1129_0_1843_1868_frame_1857.jpg;1129_0_1843_1868_frame_1868.jpg,unknown
1129_0_2120_2204,1129,0,2120,2204,83,1129_0_2120_2204_frame_2120.jpg;1129_0_2120_2204_frame_2161.jpg;1129_0_2120_2204_frame_2204.jpg,unknown
1160_0_1808_1839,1160,0,1808,1839,32,1160_0_1808_1839_frame_1808.jpg;1160_0_1808_1839_frame_1823.jpg;1160_0_1808_1839_frame_1839.jpg,unknown
1169_0_1831_1837,1169,0,1831,1837,7,1169_0_1831_1837_frame_1831.jpg;1169_0_1831_1837_frame_1834.jpg;1169_0_1831_1837_frame_1837.jpg,team_blue
1172_0_1844_1862,1172,0,1844,1862,19,1172_0_1844_1862_frame_1844.jpg;1172_0_1844_1862_frame_1853.jpg;1172_0_1844_1862_frame_1862.jpg,team_blue
1172_0_1882_2423,1172,0,1882,2423,527,1172_0_1882_2423_frame_1882.jpg;1172_0_1882_2423_frame_2152.jpg;1172_0_1882_2423_frame_2423.jpg,team_blue
1172_0_2448_2620,1172,0,2448,2620,173,1172_0_2448_2620_frame_2448.jpg;1172_0_2448_2620_frame_2534.jpg;1172_0_2448_2620_frame_2620.jpg,team_blue
1174_0_1845_1977,1174,0,1845,1977,131,1174_0_1845_1977_frame_1845.jpg;1174_0_1845_1977_frame_1910.jpg;1174_0_1845_1977_frame_1977.jpg,team_blue
1188_0_1869_1898,1188,0,1869,1898,27,1188_0_1869_1898_frame_1869.jpg;1188_0_1869_1898_frame_1885.jpg;1188_0_1869_1898_frame_1898.jpg,team_blue
1228_0_1916_1965,1228,0,1916,1965,50,1228_0_1916_1965_frame_1916.jpg;1228_0_1916_1965_frame_1940.jpg;1228_0_1916_1965_frame_1965.jpg,team_white
1248_0_1941_1983,1248,0,1941,1983,43,1248_0_1941_1983_frame_1941.jpg;1248_0_1941_1983_frame_1962.jpg;1248_0_1941_1983_frame_1983.jpg,unknown
1248_0_2042_2059,1248,0,2042,2059,17,1248_0_2042_2059_frame_2042.jpg;1248_0_2042_2059_frame_2050.jpg;1248_0_2042_2059_frame_2059.jpg,team_blue
1248_0_2077_2123,1248,0,2077,2123,47,1248_0_2077_2123_frame_2077.jpg;1248_0_2077_2123_frame_2100.jpg;1248_0_2077_2123_frame_2123.jpg,team_blue
1266_0_1971_2042,1266,0,1971,2042,56,1266_0_1971_2042_frame_1971.jpg;1266_0_1971_2042_frame_2002.jpg;1266_0_1971_2042_frame_2042.jpg,team_blue
1280_0_1999_2005,1280,0,1999,2005,7,1280_0_1999_2005_frame_1999.jpg;1280_0_1999_2005_frame_2002.jpg;1280_0_1999_2005_frame_2005.jpg,team_white
1280_0_2061_2067,1280,0,2061,2067,7,1280_0_2061_2067_frame_2061.jpg;1280_0_2061_2067_frame_2064.jpg;1280_0_2061_2067_frame_2067.jpg,unknown
1282_0_1997_2006,1282,0,1997,2006,5,1282_0_1997_2006_frame_1997.jpg;1282_0_1997_2006_frame_1999.jpg;1282_0_1997_2006_frame_2006.jpg,unknown
1288_0_2015_2064,1288,0,2015,2064,47,1288_0_2015_2064_frame_2015.jpg;1288_0_2015_2064_frame_2041.jpg;1288_0_2015_2064_frame_2064.jpg,unknown
1299_0_2033_2043,1299,0,2033,2043,11,1299_0_2033_2043_frame_2033.jpg;1299_0_2033_2043_frame_2038.jpg;1299_0_2033_2043_frame_2043.jpg,team_blue
1307_0_2044_2275,1307,0,2044,2275,224,1307_0_2044_2275_frame_2044.jpg;1307_0_2044_2275_frame_2157.jpg;1307_0_2044_2275_frame_2275.jpg,team_white
1311_0_2053_2185,1311,0,2053,2185,124,1311_0_2053_2185_frame_2053.jpg;1311_0_2053_2185_frame_2123.jpg;1311_0_2053_2185_frame_2185.jpg,
1327_0_2082_2087,1327,0,2082,2087,6,1327_0_2082_2087_frame_2082.jpg;1327_0_2082_2087_frame_2084.jpg;1327_0_2082_2087_frame_2087.jpg,
1345_0_2107_2112,1345,0,2107,2112,6,1345_0_2107_2112_frame_2107.jpg;1345_0_2107_2112_frame_2109.jpg;1345_0_2107_2112_frame_2112.jpg,
1358_0_2125_2241,1358,0,2125,2241,117,1358_0_2125_2241_frame_2125.jpg;1358_0_2125_2241_frame_2183.jpg;1358_0_2125_2241_frame_2241.jpg,
1398_0_2191_2620,1398,0,2191,2620,429,1398_0_2191_2620_frame_2191.jpg;1398_0_2191_2620_frame_2406.jpg;1398_0_2191_2620_frame_2620.jpg,
1424_0_2253_2339,1424,0,2253,2339,87,1424_0_2253_2339_frame_2253.jpg;1424_0_2253_2339_frame_2296.jpg;1424_0_2253_2339_frame_2339.jpg,
1431_0_2278_2402,1431,0,2278,2402,121,1431_0_2278_2402_frame_2278.jpg;1431_0_2278_2402_frame_2340.jpg;1431_0_2278_2402_frame_2402.jpg,
1448_0_2311_2321,1448,0,2311,2321,9,1448_0_2311_2321_frame_2311.jpg;1448_0_2311_2321_frame_2317.jpg;1448_0_2311_2321_frame_2321.jpg,
1472_0_2341_2381,1472,0,2341,2381,35,1472_0_2341_2381_frame_2341.jpg;1472_0_2341_2381_frame_2358.jpg;1472_0_2341_2381_frame_2381.jpg,
1497_0_2374_2608,1497,0,2374,2608,231,1497_0_2374_2608_frame_2374.jpg;1497_0_2374_2608_frame_2493.jpg;1497_0_2374_2608_frame_2608.jpg,
1497_0_2621_2896,1497,0,2621,2896,276,1497_0_2621_2896_frame_2621.jpg;1497_0_2621_2896_frame_2758.jpg;1497_0_2621_2896_frame_2896.jpg,
1498_0_2375_2387,1498,0,2375,2387,13,1498_0_2375_2387_frame_2375.jpg;1498_0_2375_2387_frame_2381.jpg;1498_0_2375_2387_frame_2387.jpg,
1502_0_2375_2381,1502,0,2375,2381,7,1502_0_2375_2381_frame_2375.jpg;1502_0_2375_2381_frame_2378.jpg;1502_0_2375_2381_frame_2381.jpg,
1513_0_2402_2514,1513,0,2402,2514,109,1513_0_2402_2514_frame_2402.jpg;1513_0_2402_2514_frame_2456.jpg;1513_0_2402_2514_frame_2514.jpg,
1570_0_2601_2620,1570,0,2601,2620,20,1570_0_2601_2620_frame_2601.jpg;1570_0_2601_2620_frame_2610.jpg;1570_0_2601_2620_frame_2620.jpg,
1579_0_2534_2620,1579,0,2534,2620,87,1579_0_2534_2620_frame_2534.jpg;1579_0_2534_2620_frame_2577.jpg;1579_0_2534_2620_frame_2620.jpg,
1582_0_2498_2503,1582,0,2498,2503,6,1582_0_2498_2503_frame_2498.jpg;1582_0_2498_2503_frame_2500.jpg;1582_0_2498_2503_frame_2503.jpg,
1645_0_2540_2570,1645,0,2540,2570,25,1645_0_2540_2570_frame_2540.jpg;1645_0_2540_2570_frame_2557.jpg;1645_0_2540_2570_frame_2570.jpg,
1645_0_2581_2589,1645,0,2581,2589,8,1645_0_2581_2589_frame_2581.jpg;1645_0_2581_2589_frame_2584.jpg;1645_0_2581_2589_frame_2589.jpg,
1648_0_2567_2577,1648,0,2567,2577,11,1648_0_2567_2577_frame_2567.jpg;1648_0_2567_2577_frame_2572.jpg;1648_0_2567_2577_frame_2577.jpg,
1653_0_2563_2575,1653,0,2563,2575,13,1653_0_2563_2575_frame_2563.jpg;1653_0_2563_2575_frame_2569.jpg;1653_0_2563_2575_frame_2575.jpg,
1654_0_2564_2577,1654,0,2564,2577,14,1654_0_2564_2577_frame_2564.jpg;1654_0_2564_2577_frame_2570.jpg;1654_0_2564_2577_frame_2577.jpg,
1656_0_2579_2620,1656,0,2579,2620,36,1656_0_2579_2620_frame_2579.jpg;1656_0_2579_2620_frame_2602.jpg;1656_0_2579_2620_frame_2620.jpg,
1656_0_2659_2676,1656,0,2659,2676,18,1656_0_2659_2676_frame_2659.jpg;1656_0_2659_2676_frame_2667.jpg;1656_0_2659_2676_frame_2676.jpg,
1658_0_2584_2620,1658,0,2584,2620,29,1658_0_2584_2620_frame_2584.jpg;1658_0_2584_2620_frame_2599.jpg;1658_0_2584_2620_frame_2620.jpg,
1658_0_2717_2915,1658,0,2717,2915,199,1658_0_2717_2915_frame_2717.jpg;1658_0_2717_2915_frame_2816.jpg;1658_0_2717_2915_frame_2915.jpg,
1658_0_2968_3008,1658,0,2968,3008,41,1658_0_2968_3008_frame_2968.jpg;1658_0_2968_3008_frame_2988.jpg;1658_0_2968_3008_frame_3008.jpg,
1659_0_2588_2593,1659,0,2588,2593,6,1659_0_2588_2593_frame_2588.jpg;1659_0_2588_2593_frame_2590.jpg;1659_0_2588_2593_frame_2593.jpg,
1670_0_2609_2636,1670,0,2609,2636,26,1670_0_2609_2636_frame_2609.jpg;1670_0_2609_2636_frame_2623.jpg;1670_0_2609_2636_frame_2636.jpg,
1681_0_2622_2717,1681,0,2622,2717,96,1681_0_2622_2717_frame_2622.jpg;1681_0_2622_2717_frame_2669.jpg;1681_0_2622_2717_frame_2717.jpg,
1682_0_2622_2878,1682,0,2622,2878,257,1682_0_2622_2878_frame_2622.jpg;1682_0_2622_2878_frame_2750.jpg;1682_0_2622_2878_frame_2878.jpg,
1682_0_2890_2976,1682,0,2890,2976,87,1682_0_2890_2976_frame_2890.jpg;1682_0_2890_2976_frame_2933.jpg;1682_0_2890_2976_frame_2976.jpg,
1683_0_2622_2627,1683,0,2622,2627,6,1683_0_2622_2627_frame_2622.jpg;1683_0_2622_2627_frame_2624.jpg;1683_0_2622_2627_frame_2627.jpg,
1684_0_2622_2688,1684,0,2622,2688,66,1684_0_2622_2688_frame_2622.jpg;1684_0_2622_2688_frame_2654.jpg;1684_0_2622_2688_frame_2688.jpg,
1687_0_2738_2770,1687,0,2738,2770,33,1687_0_2738_2770_frame_2738.jpg;1687_0_2738_2770_frame_2754.jpg;1687_0_2738_2770_frame_2770.jpg,
1693_0_2629_2658,1693,0,2629,2658,30,1693_0_2629_2658_frame_2629.jpg;1693_0_2629_2658_frame_2643.jpg;1693_0_2629_2658_frame_2658.jpg,
1702_0_2638_2778,1702,0,2638,2778,141,1702_0_2638_2778_frame_2638.jpg;1702_0_2638_2778_frame_2708.jpg;1702_0_2638_2778_frame_2778.jpg,
1724_0_2676_2716,1724,0,2676,2716,40,1724_0_2676_2716_frame_2676.jpg;1724_0_2676_2716_frame_2696.jpg;1724_0_2676_2716_frame_2716.jpg,
1736_0_2696_2782,1736,0,2696,2782,71,1736_0_2696_2782_frame_2696.jpg;1736_0_2696_2782_frame_2732.jpg;1736_0_2696_2782_frame_2782.jpg,
1758_0_2731_3065,1758,0,2731,3065,325,1758_0_2731_3065_frame_2731.jpg;1758_0_2731_3065_frame_2903.jpg;1758_0_2731_3065_frame_3065.jpg,
1793_0_2776_3065,1793,0,2776,3065,290,1793_0_2776_3065_frame_2776.jpg;1793_0_2776_3065_frame_2920.jpg;1793_0_2776_3065_frame_3065.jpg,
1800_0_2782_2821,1800,0,2782,2821,40,1800_0_2782_2821_frame_2782.jpg;1800_0_2782_2821_frame_2801.jpg;1800_0_2782_2821_frame_2821.jpg,
1840_0_2834_2891,1840,0,2834,2891,52,1840_0_2834_2891_frame_2834.jpg;1840_0_2834_2891_frame_2865.jpg;1840_0_2834_2891_frame_2891.jpg,
1844_0_2836_2845,1844,0,2836,2845,6,1844_0_2836_2845_frame_2836.jpg;1844_0_2836_2845_frame_2842.jpg;1844_0_2836_2845_frame_2845.jpg,
1858_0_3014_3029,1858,0,3014,3029,16,1858_0_3014_3029_frame_3014.jpg;1858_0_3014_3029_frame_3021.jpg;1858_0_3014_3029_frame_3029.jpg,
1867_0_2864_2868,1867,0,2864,2868,5,1867_0_2864_2868_frame_2864.jpg;1867_0_2864_2868_frame_2866.jpg;1867_0_2864_2868_frame_2868.jpg,
1884_0_2881_3024,1884,0,2881,3024,132,1884_0_2881_3024_frame_2881.jpg;1884_0_2881_3024_frame_2958.jpg;1884_0_2881_3024_frame_3024.jpg,
1916_0_2911_2964,1916,0,2911,2964,54,1916_0_2911_2964_frame_2911.jpg;1916_0_2911_2964_frame_2937.jpg;1916_0_2911_2964_frame_2964.jpg,
1934_0_2962_3037,1934,0,2962,3037,76,1934_0_2962_3037_frame_2962.jpg;1934_0_2962_3037_frame_2999.jpg;1934_0_2962_3037_frame_3037.jpg,
1957_0_3004_3008,1957,0,3004,3008,5,1957_0_3004_3008_frame_3004.jpg;1957_0_3004_3008_frame_3006.jpg;1957_0_3004_3008_frame_3008.jpg,
1957_0_3025_3058,1957,0,3025,3058,21,1957_0_3025_3058_frame_3025.jpg;1957_0_3025_3058_frame_3040.jpg;1957_0_3025_3058_frame_3058.jpg,
1964_0_3019_3030,1964,0,3019,3030,10,1964_0_3019_3030_frame_3019.jpg;1964_0_3019_3030_frame_3025.jpg;1964_0_3019_3030_frame_3030.jpg,
1964_0_3049_3064,1964,0,3049,3064,14,1964_0_3049_3064_frame_3049.jpg;1964_0_3049_3064_frame_3057.jpg;1964_0_3049_3064_frame_3064.jpg,
1972_0_3049_3055,1972,0,3049,3055,7,1972_0_3049_3055_frame_3049.jpg;1972_0_3049_3055_frame_3052.jpg;1972_0_3049_3055_frame_3055.jpg,
1975_0_3027_3065,1975,0,3027,3065,37,1975_0_3027_3065_frame_3027.jpg;1975_0_3027_3065_frame_3047.jpg;1975_0_3027_3065_frame_3065.jpg,
1980_0_3030_3034,1980,0,3030,3034,5,1980_0_3030_3034_frame_3030.jpg;1980_0_3030_3034_frame_3032.jpg;1980_0_3030_3034_frame_3034.jpg,
1983_0_3032_3065,1983,0,3032,3065,34,1983_0_3032_3065_frame_3032.jpg;1983_0_3032_3065_frame_3048.jpg;1983_0_3032_3065_frame_3065.jpg,
1997_0_3045_3065,1997,0,3045,3065,21,1997_0_3045_3065_frame_3045.jpg;1997_0_3045_3065_frame_3055.jpg;1997_0_3045_3065_frame_3065.jpg,
2012_0_3067_3307,2012,0,3067,3307,231,2012_0_3067_3307_frame_3067.jpg;2012_0_3067_3307_frame_3192.jpg;2012_0_3067_3307_frame_3307.jpg,
2013_0_3067_3073,2013,0,3067,3073,7,2013_0_3067_3073_frame_3067.jpg;2013_0_3067_3073_frame_3070.jpg;2013_0_3067_3073_frame_3073.jpg,
2013_0_3137_3314,2013,0,3137,3314,172,2013_0_3137_3314_frame_3137.jpg;2013_0_3137_3314_frame_3228.jpg;2013_0_3137_3314_frame_3314.jpg,
2014_0_3067_3425,2014,0,3067,3425,358,2014_0_3067_3425_frame_3067.jpg;2014_0_3067_3425_frame_3245.jpg;2014_0_3067_3425_frame_3425.jpg,
